NCBI	Name	contrast	z.ratio	padj
1052	Streptomycineae	Sexo0 Dieta0 - Sexo1 Dieta0	1.2662529972172503	0.9725545307724257
1052	Streptomycineae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.8892519373902501	0.9725545307724257
1052	Streptomycineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.3582219511229284	0.9842612199187992
1052	Streptomycineae	Sexo1 Dieta0 - Sexo0 Dieta1	-2.18788136978153	0.7592890314236937
1052	Streptomycineae	Sexo1 Dieta0 - Sexo1 Dieta1	-0.9844889163400354	0.9725545307724257
1052	Streptomycineae	Sexo0 Dieta1 - Sexo1 Dieta1	1.343225231862419	0.9725545307724257
1053	Streptosporangineae	Sexo0 Dieta0 - Sexo1 Dieta0	0.5799796532282119	0.99630014195584
1053	Streptosporangineae	Sexo0 Dieta0 - Sexo0 Dieta1	-1.7206283422687418	0.6256647604399499
1053	Streptosporangineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.3976706912727128	0.99630014195584
1053	Streptosporangineae	Sexo1 Dieta0 - Sexo0 Dieta1	-2.299676797686915	0.3093120130307607
1053	Streptosporangineae	Sexo1 Dieta0 - Sexo1 Dieta1	-0.21888832623168342	0.99630014195584
1053	Streptosporangineae	Sexo0 Dieta1 - Sexo1 Dieta1	2.2782136950583687	0.3093120130307607
1054	unclassified_Actinomycetales	Sexo0 Dieta0 - Sexo1 Dieta0	-0.9966203790724635	0.9998271173300908
1054	unclassified_Actinomycetales	Sexo0 Dieta0 - Sexo0 Dieta1	-1.1457715559966366	0.9998271173300908
1054	unclassified_Actinomycetales	Sexo0 Dieta0 - Sexo1 Dieta1	-1.6301459613358866	0.9998271173300908
1054	unclassified_Actinomycetales	Sexo1 Dieta0 - Sexo0 Dieta1	-0.0784300710687785	0.9998271173300908
1054	unclassified_Actinomycetales	Sexo1 Dieta0 - Sexo1 Dieta1	-0.6018185050749539	0.9998271173300908
1054	unclassified_Actinomycetales	Sexo0 Dieta1 - Sexo1 Dieta1	-0.5799618913452803	0.9998271173300908
1055	Bifidobacteriaceae	Sexo0 Dieta0 - Sexo1 Dieta0	-1.0996048108581238	0.9728170737957567
1055	Bifidobacteriaceae	Sexo0 Dieta0 - Sexo0 Dieta1	0.8294774560819219	0.9728170737957567
1055	Bifidobacteriaceae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.7351061737161592	0.9728170737957567
1055	Bifidobacteriaceae	Sexo1 Dieta0 - Sexo0 Dieta1	2.0268976505242264	0.9728170737957567
1055	Bifidobacteriaceae	Sexo1 Dieta0 - Sexo1 Dieta1	0.43294120739454245	0.9728170737957567
1055	Bifidobacteriaceae	Sexo0 Dieta1 - Sexo1 Dieta1	-1.6891575796668477	0.9728170737957567
1056	Coriobacterineae	Sexo0 Dieta0 - Sexo1 Dieta0	-4.638703792251128	4.16201592303711e-5
1056	Coriobacterineae	Sexo0 Dieta0 - Sexo0 Dieta1	1.756283073661914	0.3536138044101032
1056	Coriobacterineae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.15472732976545037	0.9986814060745803
1056	Coriobacterineae	Sexo1 Dieta0 - Sexo0 Dieta1	6.636818271198048	1.1538590083404188e-9
1056	Coriobacterineae	Sexo1 Dieta0 - Sexo1 Dieta1	4.917434551025061	1.5679262045042996e-5
1056	Coriobacterineae	Sexo0 Dieta1 - Sexo1 Dieta1	-2.027185729395679	0.2668873911475366
1059	Gaiellaceae	Sexo0 Dieta0 - Sexo1 Dieta0	-0.6354361041985918	0.9981101092744877
1059	Gaiellaceae	Sexo0 Dieta0 - Sexo0 Dieta1	-0.19224040979366527	0.9981101092744877
1059	Gaiellaceae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.8429769603879489	0.9981101092744877
1059	Gaiellaceae	Sexo1 Dieta0 - Sexo0 Dieta1	0.4995793526856219	0.9981101092744877
1059	Gaiellaceae	Sexo1 Dieta0 - Sexo1 Dieta1	-0.17459426358245927	0.9981101092744877
1059	Gaiellaceae	Sexo0 Dieta1 - Sexo1 Dieta1	-0.7257670520660449	0.9981101092744877
106	Acidobacteria_Gp1	Sexo0 Dieta0 - Sexo1 Dieta0	-0.4220263363822248	0.9999726244347571
106	Acidobacteria_Gp1	Sexo0 Dieta0 - Sexo0 Dieta1	-0.41404740497342774	0.9999726244347571
106	Acidobacteria_Gp1	Sexo0 Dieta0 - Sexo1 Dieta1	-0.6656630177113542	0.9999726244347571
106	Acidobacteria_Gp1	Sexo1 Dieta0 - Sexo0 Dieta1	0.04240824123958844	0.9999726244347571
106	Acidobacteria_Gp1	Sexo1 Dieta0 - Sexo1 Dieta1	-0.22078776646482448	0.9999726244347571
106	Acidobacteria_Gp1	Sexo0 Dieta1 - Sexo1 Dieta1	-0.2880934531392847	0.9999726244347571
1060	Rubrobacterineae	Sexo0 Dieta0 - Sexo1 Dieta0	0.578718590697838	0.9996480067125377
1060	Rubrobacterineae	Sexo0 Dieta0 - Sexo0 Dieta1	0.1084574703495703	0.9996480067125377
1060	Rubrobacterineae	Sexo0 Dieta0 - Sexo1 Dieta1	0.71577282139498	0.9996480067125377
1060	Rubrobacterineae	Sexo1 Dieta0 - Sexo0 Dieta1	-0.5174891570449868	0.9996480067125377
1060	Rubrobacterineae	Sexo1 Dieta0 - Sexo1 Dieta1	0.0994519076431849	0.9996480067125377
1060	Rubrobacterineae	Sexo0 Dieta1 - Sexo1 Dieta1	0.6650744851012113	0.9996480067125377
1061	Conexibacteraceae	Sexo0 Dieta0 - Sexo1 Dieta0	-1.6147388716175448	0.7404075171091484
1061	Conexibacteraceae	Sexo0 Dieta0 - Sexo0 Dieta1	-2.6186121463942027	0.1994110357348563
1061	Conexibacteraceae	Sexo0 Dieta0 - Sexo1 Dieta1	-0.38683644876410056	0.9803363821073099
1061	Conexibacteraceae	Sexo1 Dieta0 - Sexo0 Dieta1	-0.9630378460643167	0.9245687178989206
1061	Conexibacteraceae	Sexo1 Dieta0 - Sexo1 Dieta1	1.3457599660197146	0.8004931349463542
1061	Conexibacteraceae	Sexo0 Dieta1 - Sexo1 Dieta1	2.459193445396956	0.1994110357348563
1064	unclassified_Solirubrobacterales	Sexo0 Dieta0 - Sexo1 Dieta0	0.15636965813645465	0.9986392310478931
1064	unclassified_Solirubrobacterales	Sexo0 Dieta0 - Sexo0 Dieta1	-1.45901513811959	0.6937562835075318
1064	unclassified_Solirubrobacterales	Sexo0 Dieta0 - Sexo1 Dieta1	-2.1399376881900705	0.4216139354005227
1064	unclassified_Solirubrobacterales	Sexo1 Dieta0 - Sexo0 Dieta1	-1.621237830291308	0.6937562835075318
1064	unclassified_Solirubrobacterales	Sexo1 Dieta0 - Sexo1 Dieta1	-2.295118413854481	0.4216139354005227
1064	unclassified_Solirubrobacterales	Sexo0 Dieta1 - Sexo1 Dieta1	-0.8121229901708459	0.9986392310478931
1065	Thermoleophilum	Sexo0 Dieta0 - Sexo1 Dieta0	-3.13681647179839	0.018517667607496735
1065	Thermoleophilum	Sexo0 Dieta0 - Sexo0 Dieta1	1.4659200173242128	0.6873775849390005
1065	Thermoleophilum	Sexo0 Dieta0 - Sexo1 Dieta1	0.3417447567566167	0.9862760267170945
1065	Thermoleophilum	Sexo1 Dieta0 - Sexo0 Dieta1	4.847519322861242	4.466891027266051e-5
1065	Thermoleophilum	Sexo1 Dieta0 - Sexo1 Dieta1	3.710804719842909	0.00354986365012655
1065	Thermoleophilum	Sexo0 Dieta1 - Sexo1 Dieta1	-1.1866965547202957	0.7623316014345242
108	Acidobacteria_Gp21	Sexo0 Dieta0 - Sexo1 Dieta0	1.264806613262297e-16	1
108	Acidobacteria_Gp21	Sexo0 Dieta0 - Sexo0 Dieta1	-0.8667867663514708	1
108	Acidobacteria_Gp21	Sexo0 Dieta0 - Sexo1 Dieta1	0.7370434711189372	1
108	Acidobacteria_Gp21	Sexo1 Dieta0 - Sexo0 Dieta1	-0.8667867662535573	1
108	Acidobacteria_Gp21	Sexo1 Dieta0 - Sexo1 Dieta1	0.7370434711798355	1
108	Acidobacteria_Gp21	Sexo0 Dieta1 - Sexo1 Dieta1	1.7318768791908905	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 Dieta0 - Sexo1 Dieta0	1.3385572490971606e-15	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 Dieta0 - Sexo0 Dieta1	0.5050762132515161	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 Dieta0 - Sexo1 Dieta1	-1.3659671637722912	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo1 Dieta0 - Sexo0 Dieta1	0.505076213193946	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo1 Dieta0 - Sexo1 Dieta1	-1.3659671638373796	1
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 Dieta1 - Sexo1 Dieta1	-2.047842369029036	1
